1:1	Nun Pool ak Silwan ak Timote noo leen di bind, yéen mbooloom ñi gëm ci dëkku Tesalonig te nekk ci Yàlla sunu Baay ak Boroom bi Yeesu Kirist.
1:2	Na leen Yàlla Baay bi ak Boroom bi Yeesu Kirist may yiw ak jàmm.
1:3	Bokk yi, mënunu lu dul sax ci sant Yàlla ndax yéen. Loolu jaadu na, ndax seen ngëm di gën a sax, te mbëggeel gi ngeen am ci seen biir, ku nekk ci sa moroom, di yokku lu bare.
1:4	Noonu nu ngi damu ci yéen ci kanamu mboolooy Yàlla yi, ndax seen muñ ak seen ngëm ci biir mboolem fitnay noon, ak coono, yi ngeen di dékku.
1:5	Loolu mooy firndeel àtteb Yàlla bu jub bi, di wone ne yelloo ngeen nguuru Yàlla, gi tax ngeen di sonn.
1:6	Ndaxte jub na ci Yàlla, mu delloo coono ñi leen di sonal,
1:7	te it yéen ñiy dékku coono, mu boole leen ak nun, tàbbal nu ci noflaay, bés bu sunu Boroom Yeesu Kirist jógee asamaan, feeñ fi. Keroog dina ànd ak malaakaam yu am kàttan,
1:8	safara su yànj wër ko, mu feeñ ngir mbugal ñi xamul Yàlla te bañ a déggal xebaar bu baaxu sunu Boroom Yeesu.
1:9	Seen pey mooy alku ba fàww, ñu dàq leen fu sore Boroom bi ak ndamam lu réy.
1:10	Dina ñëw bés booba, ngir ndamam jolli ci biir gaayam yu sell yi, te ñépp ñi ko gëm yéemu ci moom — te ci ngeen bokk, ndaxte gëm ngeen li nu leen seede.
1:11	Moo tax dunu noppeek di leen ñaanal, ngir Yàlla sunu Boroom def leen, ngeen yeyoo li tax mu woo leen, te yeggali ak doole ci yéen bépp yéene ju baax ak bépp jëfu ngëm.
1:12	Noonu turu Yeesu sunu Boroom dina màgg ci yéen, te yéen it dingeen màgg ci moom, aju ci yiwu sunu Yàlla ak Boroom bi Yeesu Kirist.
2:1	Ci lu jëm ci ñëwu Boroom bi Yeesu Kirist nag, bokk yi, ak sunu daje ak moom, am na lu ma leen di ñaan:
2:2	bu leen kenn gaaw a tàggale ak seen sago, mbaa di leen jaaxal, muy yonent buy wax, muy kàddu mbaa bataaxal bu ñu nu moomaleel, ci ne leen bésu Boroom bi ñëw na xaat.
2:3	Bu leen kenn nax ci benn fànn, ndaxte balaa booba, fàww Xiiroo bu mag bi ak Yàlla am, te Nitu ñaawteef ki feeñ, moom aji alku ji.
2:4	Day weddi lépp lu ñu teg Yàlla walla ñu koy jaamu, di yékkati boppam, ba toog sax ca kër Yàlla ga, tudde boppam Yàlla.
2:5	Xanaa fàttalikuwuleen ne, waxoon naa leen ko, ba ma nekkee ak yéen.
2:6	Te xam ngeen li ko téye léegi, ba du man a feeñ lu dul ci waxtoom.
2:7	Ndaxte fi mu ne ñaawteef gaa ngi jax-jaxi xaat ci kumpa, waaye ki ko téye mi ngi fi ba tey. Bu fi jógee nag,
2:8	Nitu ñaawteef ki dina feeñ, te Boroom bi Yeesu dina ko rey ak ngelawul gémmiñam, tas ko ak leer giy ànd ak ñëwam.
